rtt_ms,bw_mbit,buf_bdp_ratio,loss_pct,cc_a,cc_b
10,100,0.1,0,bbrv2,
10,100,0.1,0,cubic,bbrv2
10,100,0.1,2,bbrv2,
10,100,0.1,2,cubic,bbrv2
10,100,1.0,0,bbrv2,
10,100,1.0,0,cubic,bbrv2
10,100,1.0,2,bbrv2,
10,100,1.0,2,cubic,bbrv2
10,100,10.0,0,bbrv2,
10,100,10.0,0,cubic,bbrv2
10,100,10.0,2,bbrv2,
10,100,10.0,2,cubic,bbrv2
50,100,0.1,0,bbrv2,
50,100,0.1,0,cubic,bbrv2
50,100,0.1,2,bbrv2,
50,100,0.1,2,cubic,bbrv2
50,100,1.0,0,bbrv2,
50,100,1.0,0,cubic,bbrv2
50,100,1.0,2,bbrv2,
50,100,1.0,2,cubic,bbrv2
50,100,10.0,0,bbrv2,
50,100,10.0,0,cubic,bbrv2
50,100,10.0,2,bbrv2,
50,100,10.0,2,cubic,bbrv2
100,100,0.1,0,bbrv2,
100,100,0.1,0,cubic,bbrv2
100,100,0.1,2,bbrv2,
100,100,0.1,2,cubic,bbrv2
100,100,1.0,0,bbrv2,
100,100,1.0,0,cubic,bbrv2
100,100,1.0,2,bbrv2,
100,100,1.0,2,cubic,bbrv2
100,100,10.0,0,bbrv2,
100,100,10.0,0,cubic,bbrv2
100,100,10.0,2,bbrv2,
100,100,10.0,2,cubic,bbrv2
