rtt_ms,bw_mbit,loss_pct,buf_bytes,bbrv2_sender_mbps,bbrv2_receiver_mbps,bbrv3_sender_mbps,bbrv3_receiver_mbps,sender_diff_mbps,sender_diff_pct,receiver_diff_mbps,receiver_diff_pct,winner
10,25,0,100000,23.644722,23.509656,23.557243,23.468890,-0.087479,-0.369973,-0.040766,-0.173403,bbrv2
10,25,0,2000000,23.627098,23.510663,23.539812,23.433814,-0.087287,-0.369434,-0.076849,-0.326869,bbrv2
10,25,0,10000000,23.644700,23.511131,23.539774,23.431450,-0.104925,-0.443758,-0.079681,-0.338907,bbrv2
10,25,0,50000000,23.627475,23.510687,23.557266,23.486675,-0.070210,-0.297152,-0.024012,-0.102133,bbrv2
10,25,0,100000000,23.644783,23.509978,23.574683,23.467219,-0.070100,-0.296472,-0.042759,-0.181878,bbrv2
10,25,1,100000,23.679934,23.580083,19.747533,19.662345,-3.932401,-16.606470,-3.917738,-16.614605,bbrv2
10,25,1,2000000,23.609689,23.496757,19.013502,18.930120,-4.596188,-19.467378,-4.566637,-19.435179,bbrv2
10,25,1,10000000,23.679625,23.583306,19.258170,19.174558,-4.421455,-18.671981,-4.408748,-18.694360,bbrv2
10,25,1,50000000,23.714933,23.583571,18.576657,18.510999,-5.138276,-21.666838,-5.072572,-21.508924,bbrv2
10,25,1,100000000,23.714625,23.584188,19.712608,19.611347,-4.002018,-16.875736,-3.972841,-16.845357,bbrv2
10,25,2,100000,23.749781,23.637531,13.910564,13.813363,-9.839217,-41.428665,-9.824168,-41.561734,bbrv2
10,25,2,2000000,23.679608,23.531161,13.246535,13.167337,-10.433073,-44.059317,-10.363824,-44.042978,bbrv2
10,25,2,10000000,23.679612,23.567805,13.893239,13.831000,-9.786373,-41.328267,-9.736805,-41.314009,bbrv2
10,25,2,50000000,23.697125,23.567425,14.504825,14.407289,-9.192300,-38.790782,-9.160136,-38.867785,bbrv2
10,25,2,100000000,23.836896,23.707325,13.386329,13.324469,-10.450567,-43.841981,-10.382856,-43.795982,bbrv2
10,50,0,100000,47.237038,46.959181,47.236518,47.080907,-0.000520,-0.001100,0.121726,0.259217,bbrv3
10,50,0,2000000,47.184538,46.976759,46.922393,46.728889,-0.262145,-0.555574,-0.247870,-0.527644,bbrv2
10,50,0,10000000,47.167175,46.961646,46.904844,46.731036,-0.262331,-0.556172,-0.230610,-0.491061,bbrv2
10,50,0,50000000,47.184558,46.961207,47.009692,46.818659,-0.174866,-0.370600,-0.142548,-0.303545,bbrv2
10,50,0,100000000,47.184944,46.978185,47.114550,46.923205,-0.070394,-0.149188,-0.054980,-0.117033,bbrv2
10,50,1,100000,47.062330,46.838819,27.104982,26.911058,-19.957348,-42.406205,-19.927761,-42.545396,bbrv2
10,50,1,2000000,47.097035,46.840410,26.335926,26.195042,-20.761109,-44.081563,-20.645367,-44.075975,bbrv2
10,50,1,10000000,46.974839,46.805120,27.227292,27.068489,-19.747547,-42.038562,-19.736631,-42.167676,bbrv2
10,50,1,50000000,47.044683,46.857340,31.001901,30.857768,-16.042781,-34.101158,-15.999572,-34.145285,bbrv2
10,50,1,100000000,47.062854,46.824025,33.046622,32.901187,-14.016232,-29.781942,-13.922838,-29.734389,bbrv2
10,50,2,100000,46.660245,46.473531,14.155274,14.022932,-32.504972,-69.663096,-32.450598,-69.825981,bbrv2
10,50,2,2000000,46.625338,46.423861,13.473744,13.324495,-33.151594,-71.102099,-33.099366,-71.298176,bbrv2
10,50,2,10000000,46.677810,46.473154,14.032980,13.865916,-32.644830,-69.936508,-32.607238,-70.163600,bbrv2
10,50,2,50000000,46.747723,46.456650,14.609575,14.442006,-32.138149,-68.748051,-32.014644,-68.912942,bbrv2
10,50,2,100000000,46.695188,46.526572,16.654336,16.502921,-30.040853,-64.333936,-30.023650,-64.530116,bbrv2
10,100,0,100000,93.600947,93.247175,93.197987,92.851558,-0.402960,-0.430509,-0.395617,-0.424267,bbrv2
10,100,0,2000000,94.265063,93.850749,94.808258,94.421597,0.543196,0.576243,0.570848,0.608251,bbrv3
10,100,0,10000000,94.334968,93.843949,94.387315,94.070781,0.052348,0.055491,0.226832,0.241712,bbrv3
10,100,0,50000000,94.247561,93.869453,94.406309,94.070151,0.158748,0.168437,0.200698,0.213806,bbrv3
10,100,0,100000000,94.282411,93.851241,94.666849,94.276640,0.384438,0.407752,0.425399,0.453270,bbrv3
10,100,1,100000,92.673970,92.391517,73.538987,73.259418,-19.134983,-20.647635,-19.132100,-20.707636,bbrv2
