rtt,bw,loss,buf,bbrv2,bbrv3,cubic,cubicvsbbrv2,cubicvsbbrv3,cubicvscubic,v3ImprovPcnt,v2Harm,v3Harm,cubicHarm
10,100,0,0.1bdp,,14.033204,,,4.026395,,,,,
10,100,0,10bdp,,93.744415,,,50.205839,,,,,
10,100,0,1bdp,,93.672220,,,36.645116,,,,,
10,100,2,0.1bdp,,10.747026,,,3.770948,,,,,
10,100,2,10bdp,,15.961664,,,6.130238,,,,,
10,100,2,1bdp,,15.857009,,,6.165280,,,,,
10,500,0,0.1bdp,,63.457500,,,24.019685,,,,,
10,500,0,10bdp,,457.189298,,,256.071118,,,,,
10,500,0,1bdp,,453.680698,,,93.475291,,,,,
10,500,2,0.1bdp,,15.332191,,,6.123220,,,,,
10,500,2,10bdp,,17.952231,,,6.130600,,,,,
10,500,2,1bdp,,17.981361,,,6.297806,,,,,
50,100,0,0.1bdp,,15.784845,,,5.493464,,,,,
50,100,0,10bdp,,93.759566,,,53.085897,,,,,
50,100,0,1bdp,,93.628685,,,14.509204,,,,,
50,100,2,0.1bdp,,5.049627,,,1.485218,,,,,
50,100,2,10bdp,,6.835447,,,1.478210,,,,,
50,100,2,1bdp,,10.235672,,,1.499184,,,,,
50,500,0,0.1bdp,,78.308295,,,12.073876,,,,,
50,500,0,10bdp,,407.170845,,,242.699800,,,,,
50,500,0,1bdp,,405.232074,,,167.795923,,,,,
50,500,2,0.1bdp,,7.139383,,,1.583137,,,,,
50,500,2,10bdp,,9.231481,,,1.561958,,,,,
50,500,2,1bdp,,12.776603,,,1.464261,,,,,
100,100,0,0.1bdp,,16.271640,,,3.829438,,,,,
100,100,0,10bdp,,93.267627,,,53.239772,,,,,
100,100,0,1bdp,,92.746092,,,8.035014,,,,,
100,100,2,0.1bdp,,3.560371,,,0.838552,,,,,
100,100,2,10bdp,,4.695883,,,0.786137,,,,,
100,100,2,1bdp,,11.690586,,,0.817576,,,,,
100,500,0,0.1bdp,,80.847733,,,5.467979,,,,,
100,500,0,10bdp,,208.325266,,,210.698191,,,,,
100,500,0,1bdp,,208.167265,,,210.616370,,,,,
100,500,2,0.1bdp,,4.688859,,,0.845531,,,,,
100,500,2,10bdp,,6.062177,,,0.803649,,,,,
100,500,2,1bdp,,9.601463,,,0.894460,,,,,
