rtt,bw,loss,buf,bbrv2,bbrv3,cubic,cubicvsbbrv2,cubicvsbbrv3,cubicvscubic,v3ImprovPcnt,v2Harm,v3Harm,cubicHarm,loss_cat,buf_numeric,label
10,100,0,0.1bdp,13.990276,14.033204,11.100265,4.830068,4.026395,5.221569,0.3068416949029444,0.564869,0.6372703714731135,0.5296,0% Loss,0.1,rtt10 0.1bdp L0
10,100,0,10bdp,94.281072,93.744415,95.627709,85.092473,50.205839,41.929257,-0.5692096924820615,0.110169,0.4749864916245144,0.561537,0% Loss,10.0,rtt10 10bdp L0
10,100,0,1bdp,91.284608,93.67222,94.952563,66.653816,36.645116,48.091233,2.6155691001050143,0.29803,0.6140692273888383,0.493524,0% Loss,1.0,rtt10 1bdp L0
10,100,2,0.1bdp,9.499448,10.747026,5.808728,4.215002,3.770948,4.550559,13.133163105898374,0.274368,0.35081346552980275,0.2166,Loss,0.1,rtt10 0.1bdp L2
10,100,2,10bdp,10.446534,15.961664,5.94144,6.843221,6.130238,6.09162,52.79387402558592,-0.151778,-0.03177647169709704,-0.025277,Loss,10.0,rtt10 10bdp L2
10,100,2,1bdp,10.523624,15.857009,5.917296,6.794386,6.16528,6.151358,50.68011741962655,-0.148225,-0.04190833110258465,-0.039556,Loss,1.0,rtt10 1bdp L2
10,500,0,0.1bdp,60.224306,63.4575,33.269758,28.867018,24.019685,17.451075,5.368586563704038,0.132335,0.2780324702091312,0.475467,0% Loss,0.1,rtt10 0.1bdp L0
10,500,0,10bdp,463.531158,457.189298,478.050447,266.069354,256.071118,239.255881,-1.3681626122747064,0.443428,0.4643428960123951,0.499518,0% Loss,10.0,rtt10 10bdp L0
10,500,0,1bdp,454.826876,453.680698,477.572869,358.104518,93.475291,238.561454,-0.25200313800278157,0.250157,0.8042700976801092,0.500471,0% Loss,1.0,rtt10 1bdp L0
10,500,2,0.1bdp,9.80684,15.332191,6.430569,6.91667,6.12322,6.5042,56.34180837048428,-0.075592,0.047794992946969435,-0.01145,Loss,0.1,rtt10 0.1bdp L2
10,500,2,10bdp,12.358381,17.952231,6.647476,6.895894,6.1306,6.546428,45.263615031774805,-0.03737,0.07775522619412238,0.015201,Loss,10.0,rtt10 10bdp L2
10,500,2,1bdp,11.047894,17.981361,6.458873,6.951704,6.297806,6.41693,62.75826867998553,-0.076303,0.024937322656754527,0.006494,Loss,1.0,rtt10 1bdp L2
50,100,0,0.1bdp,15.463486,15.784845,13.925549,3.341174,5.493464,7.034475,2.078179525625729,0.760069,0.6055118545057003,0.494851,0% Loss,0.1,rtt50 0.1bdp L0
