inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
172,19273504,,,DRAIN,452,1778096101000
172,19426096,172.0,19426096.0,PROBE_BW_CRUISE,147,1778096101111
172,19426096,145.0,16586232.0,PROBE_BW_CRUISE,145,1778096101222
172,19426096,144.0,16343880.0,PROBE_BW_CRUISE,144,1778096101333
172,19273504,,,DRAIN,466,1778096101444
172,19426096,147.0,16526160.0,PROBE_BW_CRUISE,147,1778096101555
172,19426096,,,PROBE_BW_CRUISE,147,1778096101666
172,19273504,,,DRAIN,460,1778096101777
172,19273504,,,DRAIN,462,1778096101888
172,19426096,141.0,15890936.0,PROBE_BW_CRUISE,141,1778096102000
172,19426096,142.0,15803936.0,PROBE_BW_CRUISE,142,1778096102142
172,19426096,140.0,15575400.0,PROBE_BW_CRUISE,140,1778096102285
172,19426096,137.0,15257784.0,PROBE_BW_CRUISE,137,1778096102428
172,19426096,144.0,16168504.0,PROBE_BW_CRUISE,144,1778096102570
172,19426096,139.0,15521544.0,PROBE_BW_CRUISE,139,1778096102713
172,19426096,139.0,15607848.0,PROBE_BW_CRUISE,139,1778096102856
172,19426096,137.0,15470448.0,PROBE_BW_CRUISE,137,1778096103000
172,19426096,135.0,14985744.0,PROBE_BW_CRUISE,135,1778096103083
172,19426096,133.0,14907720.0,PROBE_BW_CRUISE,133,1778096103166
172,19426096,131.0,14739248.0,PROBE_BW_CRUISE,131,1778096103249
172,19426096,130.0,14582512.0,PROBE_BW_CRUISE,130,1778096103333
172,19426096,137.0,15183216.0,PROBE_BW_CRUISE,137,1778096103416
172,19426096,134.0,14925672.0,PROBE_BW_CRUISE,134,1778096103499
172,19426096,,,PROBE_BW_REFILL,170,1778096103582
172,19426096,,,PROBE_BW_REFILL,172,1778096103666
172,19426096,,,PROBE_BW_REFILL,160,1778096103749
172,19426096,,,PROBE_BW_REFILL,168,1778096103832
172,19426096,,,PROBE_BW_REFILL,164,1778096103915
172,19426096,,,PROBE_BW_UP,172,1778096104000
169,18854392,167.0,18854392.0,PROBE_BW_CRUISE,144,1778096104099
169,18854392,143.0,16211312.0,PROBE_BW_CRUISE,143,1778096104199
169,18854392,144.0,16352856.0,PROBE_BW_CRUISE,144,1778096104299
169,18854392,141.0,15719016.0,PROBE_BW_CRUISE,141,1778096104399
169,18854392,140.0,15685184.0,PROBE_BW_CRUISE,140,1778096104499
169,19426096,,,PROBE_BW_CRUISE,144,1778096104599
169,18854392,166.0,18854392.0,PROBE_BW_CRUISE,144,1778096104699
169,18854392,140.0,15782536.0,PROBE_BW_CRUISE,140,1778096104799
169,19426096,167.0,18854392.0,PROBE_BW_CRUISE,144,1778096104899
169,18854392,140.0,15782536.0,PROBE_BW_CRUISE,140,1778096105000
169,18854392,140.0,15493920.0,PROBE_BW_CRUISE,140,1778096105124
169,18854392,136.0,15273664.0,PROBE_BW_CRUISE,136,1778096105249
169,18854392,135.0,15194264.0,PROBE_BW_CRUISE,135,1778096105374
169,18854392,134.0,14989888.0,PROBE_BW_CRUISE,134,1778096105499
169,18854392,139.0,15538800.0,PROBE_BW_CRUISE,139,1778096105624
169,18854392,135.0,15163192.0,PROBE_BW_CRUISE,135,1778096105749
169,18854392,134.0,15050648.0,PROBE_BW_CRUISE,134,1778096105874
169,18854392,130.0,14588040.0,PROBE_BW_CRUISE,130,1778096106000
147,18854392,,,PROBE_BW_DOWN,147,1778096106090
159,18438736,132.0,14919464.0,PROBE_BW_CRUISE,132,1778096106181
159,18438736,133.0,15055480.0,PROBE_RTT,65,1778096106272
159,18438736,131.0,14583208.0,PROBE_RTT,63,1778096106363
151,18854392,,,PROBE_BW_DOWN,151,1778096106454
169,18854392,,,PROBE_BW_REFILL,169,1778096106544
159,18438736,164.0,18438736.0,PROBE_BW_CRUISE,136,1778096106635
137,18854392,,,PROBE_BW_DOWN,137,1778096106726
169,18854392,,,PROBE_BW_DOWN,169,1778096106817
159,18438736,133.0,15055480.0,PROBE_BW_CRUISE,133,1778096106908
159,18438736,,,PROBE_BW_CRUISE,136,1778096107000
159,18438736,135.0,15268144.0,PROBE_BW_CRUISE,135,1778096107142
159,18438736,132.0,14822792.0,PROBE_BW_CRUISE,132,1778096107285
159,18438736,130.0,14515544.0,PROBE_BW_CRUISE,130,1778096107428
159,18438736,130.0,14547304.0,PROBE_BW_CRUISE,130,1778096107570
159,18438736,133.0,14940864.0,PROBE_BW_CRUISE,133,1778096107713
159,18438736,134.0,14903576.0,PROBE_BW_CRUISE,134,1778096107856
159,18438736,128.0,14329120.0,PROBE_BW_CRUISE,128,1778096108000
159,18438736,127.0,14251784.0,PROBE_BW_CRUISE,127,1778096108142
159,18438736,125.0,13959032.0,PROBE_BW_CRUISE,125,1778096108285
159,18438736,123.0,13845792.0,PROBE_BW_CRUISE,123,1778096108428
159,18438736,121.0,13658680.0,PROBE_BW_CRUISE,121,1778096108570
159,18438736,129.0,14530040.0,PROBE_BW_CRUISE,129,1778096108713
159,18438736,127.0,14281472.0,PROBE_BW_CRUISE,127,1778096108856
159,18438736,120.0,13443944.0,PROBE_BW_CRUISE,120,1778096109000
136,18438736,,,PROBE_BW_DOWN,136,1778096109071
159,18152888,157.0,17750344.0,PROBE_BW_CRUISE,136,1778096109142
159,18152888,134.0,15177696.0,PROBE_BW_CRUISE,134,1778096109214
159,18152888,132.0,14741320.0,PROBE_BW_CRUISE,132,1778096109285
143,18438736,,,PROBE_BW_CRUISE,122,1778096109356
159,18438736,121.0,13594464.0,PROBE_BW_CRUISE,121,1778096109428
159,18438736,,,PROBE_BW_REFILL,159,1778096109499
159,18152888,,,PROBE_BW_CRUISE,136,1778096109570
159,18152888,135.0,15284024.0,PROBE_BW_CRUISE,135,1778096109642
159,18152888,132.0,14803464.0,PROBE_BW_CRUISE,132,1778096109713
127,18438736,,,PROBE_BW_DOWN,127,1778096109784
125,18438736,,,PROBE_BW_DOWN,124,1778096109856
128,18438736,,,PROBE_BW_DOWN,128,1778096109927
159,18152888,130.0,14494136.0,PROBE_BW_CRUISE,130,1778096110000
159,18152888,128.0,14512088.0,PROBE_BW_CRUISE,128,1778096110111
159,18152888,127.0,14171000.0,PROBE_BW_CRUISE,127,1778096110222
159,18152888,126.0,14039816.0,PROBE_BW_CRUISE,126,1778096110333
159,18152888,124.0,13786416.0,PROBE_BW_CRUISE,124,1778096110444
159,18152888,126.0,14072952.0,PROBE_BW_CRUISE,126,1778096110555
159,18152888,132.0,14741320.0,PROBE_BW_CRUISE,132,1778096110666
159,18152888,131.0,14521064.0,PROBE_BW_CRUISE,131,1778096110777
159,18152888,125.0,13883768.0,PROBE_BW_CRUISE,125,1778096110888
159,18152888,120.0,13434968.0,PROBE_BW_CRUISE,120,1778096111000
159,18152888,,,PROBE_BW_REFILL,120,1778096111066
159,18152888,,,PROBE_BW_CRUISE,135,1778096111133
159,17654376,133.0,15063768.0,PROBE_BW_CRUISE,133,1778096111199
159,17654376,134.0,15130744.0,PROBE_BW_CRUISE,134,1778096111266
159,18152888,,,PROBE_BW_REFILL,142,1778096111333
159,17654376,130.0,14654320.0,PROBE_BW_CRUISE,130,1778096111399
159,18152888,124.0,13725656.0,PROBE_BW_CRUISE,124,1778096111466
159,18152888,118.0,13067648.0,PROBE_BW_CRUISE,118,1778096111532
114,18152888,,,PROBE_BW_DOWN,114,1778096111599
159,17654376,157.0,17654376.0,PROBE_BW_CRUISE,136,1778096111666
157,18152888,,,PROBE_BW_CRUISE,134,1778096111732
154,18152888,,,PROBE_BW_CRUISE,132,1778096111799
143,18152888,,,PROBE_BW_CRUISE,117,1778096111865
141,18152888,,,PROBE_BW_CRUISE,115,1778096111932
159,17654376,134.0,14994720.0,PROBE_BW_CRUISE,134,1778096112000
159,17654376,130.0,14347760.0,PROBE_BW_CRUISE,130,1778096112111
159,17654376,130.0,14759272.0,PROBE_RTT,64,1778096112222
159,17654376,,,PROBE_BW_CRUISE,136,1778096112333
159,17654376,130.0,14654320.0,PROBE_BW_CRUISE,130,1778096112444
159,17654376,127.0,14168240.0,PROBE_RTT,62,1778096112555
159,17654376,95.0,12413088.0,PROBE_BW_CRUISE,95,1778096112666
159,17654376,,,PROBE_BW_CRUISE,135,1778096112777
159,17654376,134.0,14994720.0,PROBE_BW_CRUISE,131,1778096112888
159,17654376,95.0,12413088.0,PROBE_BW_CRUISE,95,1778096113000
159,17654376,131.0,14738560.0,PROBE_BW_CRUISE,131,1778096113099
159,17654376,130.0,14516920.0,PROBE_BW_CRUISE,130,1778096113199
159,17654376,127.0,14206216.0,PROBE_BW_CRUISE,127,1778096113299
159,17654376,125.0,13956272.0,PROBE_BW_CRUISE,125,1778096113399
159,17654376,131.0,14738560.0,PROBE_BW_CRUISE,109,1778096113499
159,17654376,129.0,14331192.0,PROBE_BW_CRUISE,129,1778096113599
159,17654376,127.0,14126120.0,PROBE_BW_CRUISE,127,1778096113699
159,17654376,124.0,13742912.0,PROBE_BW_CRUISE,124,1778096113799
159,17654376,131.0,14738560.0,PROBE_BW_CRUISE,106,1778096113899
159,17654376,124.0,13742912.0,PROBE_BW_CRUISE,124,1778096114000
159,17654376,124.0,13888600.0,PROBE_BW_CRUISE,124,1778096114142
159,17654376,123.0,13674560.0,PROBE_BW_CRUISE,123,1778096114285
159,17654376,121.0,13619320.0,PROBE_BW_CRUISE,121,1778096114428
159,17654376,120.0,13434280.0,PROBE_BW_CRUISE,120,1778096114570
159,17654376,122.0,13550968.0,PROBE_BW_CRUISE,122,1778096114713
159,17654376,120.0,13332784.0,PROBE_BW_CRUISE,120,1778096114856
159,17654376,120.0,13332096.0,PROBE_BW_CRUISE,120,1778096115000
159,17654376,,,PROBE_BW_REFILL,120,1778096115076
115,17654376,,,PROBE_BW_CRUISE,98,1778096115153
115,16762992,110.0,12489040.0,PROBE_BW_CRUISE,98,1778096115230
115,16762992,97.0,10751840.0,PROBE_BW_CRUISE,97,1778096115307
159,17654376,,,PROBE_BW_REFILL,134,1778096115384
159,17654376,115.0,12887432.0,PROBE_BW_CRUISE,115,1778096115461
115,17654376,,,PROBE_BW_DOWN,115,1778096115537
115,16762992,98.0,11032168.0,PROBE_BW_CRUISE,98,1778096115614
159,17654376,118.0,13032432.0,PROBE_BW_CRUISE,118,1778096115691
159,17654376,120.0,13434280.0,PROBE_BW_CRUISE,120,1778096115768
159,17654376,118.0,13032432.0,PROBE_BW_CRUISE,116,1778096115845
159,17654376,,,PROBE_BW_REFILL,132,1778096115922
