inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
93,97759496,80.0,84989432.0,PROBE_BW_CRUISE,80,1778090975000
93,97759496,78.0,77580792.0,PROBE_BW_CRUISE,78,1778090975199
93,97759496,93.0,94993512.0,PROBE_BW_CRUISE,80,1778090975399
93,97759496,80.0,79521680.0,PROBE_BW_CRUISE,80,1778090975599
93,97759496,80.0,81372112.0,PROBE_BW_CRUISE,80,1778090975799
93,97759496,77.0,77606344.0,PROBE_BW_CRUISE,77,1778090976000
93,97759496,,,PROBE_BW_REFILL,74,1778090976066
93,95982944,73.0,72779336.0,PROBE_BW_CRUISE,73,1778090976133
93,95982944,68.0,67523552.0,PROBE_BW_CRUISE,68,1778090976199
93,97759496,78.0,80728600.0,PROBE_BW_CRUISE,78,1778090976266
93,97759496,74.0,74756120.0,PROBE_BW_CRUISE,74,1778090976333
93,95982944,74.0,74901120.0,PROBE_BW_CRUISE,74,1778090976399
93,95982944,68.0,68497104.0,PROBE_BW_CRUISE,68,1778090976466
93,95982944,65.0,63289648.0,PROBE_BW_CRUISE,65,1778090976532
93,97759496,79.0,81147024.0,PROBE_BW_CRUISE,79,1778090976599
93,97759496,77.0,81221592.0,PROBE_BW_CRUISE,77,1778090976666
93,97759496,,,PROBE_BW_CRUISE,80,1778090976732
93,95982944,71.0,74824480.0,PROBE_BW_CRUISE,71,1778090976799
93,95982944,66.0,65588880.0,PROBE_BW_CRUISE,66,1778090976865
93,97759496,,,PROBE_BW_REFILL,93,1778090976932
93,95982944,62.0,64090584.0,PROBE_BW_CRUISE,62,1778090977000
66,88526664,52.0,51095432.0,PROBE_BW_CRUISE,52,1778090977066
66,88526664,45.0,44911672.0,PROBE_BW_CRUISE,45,1778090977133
51,88526664,42.0,39546104.0,PROBE_BW_CRUISE,42,1778090977199
51,88526664,40.0,38685104.0,PROBE_BW_CRUISE,40,1778090977266
66,88526664,56.0,58749184.0,PROBE_BW_CRUISE,56,1778090977333
66,88526664,47.0,49676536.0,PROBE_BW_CRUISE,47,1778090977399
51,88526664,45.0,44677608.0,PROBE_BW_CRUISE,44,1778090977466
51,88526664,42.0,39945192.0,PROBE_BW_CRUISE,42,1778090977532
51,48405400,45.0,47969720.0,PROBE_BW_CRUISE,44,1778090977599
93,95982944,62.0,64225224.0,PROBE_BW_CRUISE,62,1778090977666
66,88526664,52.0,51181736.0,PROBE_BW_CRUISE,52,1778090977732
66,88526664,45.0,46108928.0,PROBE_BW_CRUISE,45,1778090977799
51,88526664,43.0,40369824.0,PROBE_BW_CRUISE,43,1778090977865
51,88526664,38.0,37231680.0,PROBE_BW_CRUISE,38,1778090977932
51,48405400,44.0,44498776.0,PROBE_BW_CRUISE,44,1778090978000
51,48405400,42.0,38325368.0,PROBE_BW_CRUISE,42,1778090978066
48,46726888,40.0,38098896.0,PROBE_BW_CRUISE,40,1778090978133
48,46726888,36.0,33536336.0,PROBE_BW_CRUISE,36,1778090978199
43,43389896,35.0,30616384.0,PROBE_BW_CRUISE,35,1778090978266
51,48405400,43.0,39462560.0,PROBE_BW_CRUISE,43,1778090978333
48,46726888,50.0,43851120.0,PROBE_BW_CRUISE,41,1778090978399
48,46726888,38.0,37977376.0,PROBE_BW_CRUISE,38,1778090978466
43,43389896,36.0,37228232.0,PROBE_BW_CRUISE,36,1778090978532
28,43389896,,,PROBE_BW_DOWN,28,1778090978599
51,48405400,43.0,41129328.0,PROBE_BW_CRUISE,43,1778090978666
51,48405400,42.0,38418584.0,PROBE_BW_CRUISE,42,1778090978732
48,46726888,39.0,37312464.0,PROBE_BW_CRUISE,39,1778090978799
48,46726888,,,PROBE_BW_REFILL,41,1778090978865
43,43389896,32.0,28522904.0,PROBE_BW_CRUISE,32,1778090978932
28,39138736,41.0,39138736.0,PROBE_BW_CRUISE,24,1778090979000
28,39138736,,,PROBE_BW_REFILL,28,1778090979076
25,31806048,21.0,18605824.0,PROBE_BW_CRUISE,21,1778090979153
25,23283696,20.0,17977512.0,PROBE_BW_CRUISE,20,1778090979230
25,22924656,19.0,17081288.0,PROBE_BW_CRUISE,19,1778090979307
28,39138736,22.0,22593232.0,PROBE_BW_CRUISE,22,1778090979384
25,31806048,23.0,22363312.0,PROBE_BW_CRUISE,22,1778090979461
25,23283696,22.0,20927152.0,PROBE_BW_CRUISE,22,1778090979537
28,39138736,28.0,27518976.0,PROBE_BW_CRUISE,24,1778090979614
25,39138736,,,PROBE_BW_DOWN,25,1778090979691
25,31806048,,,PROBE_BW_REFILL,25,1778090979768
25,23283696,,,PROBE_BW_REFILL,25,1778090979845
25,22924656,,,PROBE_BW_DOWN,25,1778090979922
23,24079792,19.0,17396832.0,PROBE_RTT,8,1778090980000
23,24079792,,,PROBE_BW_CRUISE,20,1778090980083
20,21309672,21.0,19824488.0,PROBE_BW_CRUISE,18,1778090980166
26,27066040,,,PROBE_BW_CRUISE,23,1778090980249
26,27811040,,,PROBE_BW_CRUISE,23,1778090980333
23,19983296,,,PROBE_BW_UP,23,1778090980416
26,27811040,20.0,19056008.0,PROBE_BW_CRUISE,20,1778090980499
23,24079792,13.0,12231496.0,PROBE_RTT,6,1778090980582
23,24079792,19.0,18254384.0,PROBE_BW_CRUISE,19,1778090980666
20,21309672,18.0,17513520.0,PROBE_BW_CRUISE,18,1778090980749
26,27811040,23.0,22192080.0,PROBE_BW_CRUISE,23,1778090980832
24,26243008,27.0,24902136.0,PROBE_BW_CRUISE,21,1778090980915
24,26243008,19.0,17086128.0,PROBE_BW_CRUISE,19,1778090981000
21,22761016,18.0,17458280.0,PROBE_BW_CRUISE,18,1778090981090
18,19771320,16.0,15028552.0,PROBE_BW_CRUISE,16,1778090981181
19,19664304,23.0,19547616.0,PROBE_BW_CRUISE,17,1778090981272
17,17389240,18.0,17389240.0,PROBE_BW_CRUISE,15,1778090981363
24,26243008,19.0,16615920.0,PROBE_BW_CRUISE,19,1778090981454
21,23231912,,,PROBE_BW_DOWN,21,1778090981544
21,19582136,,,PROBE_BW_REFILL,21,1778090981635
18,19771320,,,PROBE_BW_REFILL,18,1778090981726
19,19664304,15.0,14703344.0,PROBE_BW_CRUISE,15,1778090981817
17,17389240,,,PROBE_BW_REFILL,17,1778090981908
14,15655488,,,PROBE_BW_REFILL,14,1778090982000
13,12385472,,,PROBE_BW_UP,13,1778090982071
23,23283008,20.0,18094888.0,PROBE_BW_CRUISE,20,1778090982142
20,20956848,16.0,15794272.0,PROBE_BW_CRUISE,16,1778090982214
13,19720920,,,PROBE_BW_CRUISE,12,1778090982285
14,15655488,12.0,11226880.0,PROBE_BW_CRUISE,12,1778090982356
13,14278712,,,PROBE_BW_DOWN,13,1778090982428
23,23283008,20.0,18889608.0,PROBE_BW_CRUISE,20,1778090982499
20,20956848,16.0,15495304.0,PROBE_BW_CRUISE,16,1778090982570
15,19720920,19.0,17766920.0,PROBE_BW_CRUISE,13,1778090982642
13,14278712,14.0,11956008.0,PROBE_BW_CRUISE,12,1778090982713
31,20375480,,,PROBE_BW_UP,31,1778090982784
20,23283008,,,PROBE_BW_DOWN,20,1778090982856
13,12953032,12.0,11558296.0,PROBE_BW_CRUISE,12,1778090982927
9,11871768,9.0,10257472.0,PROBE_BW_CRUISE,8,1778090983000
11,8585872,,,PROBE_BW_UP,11,1778090983090
28,29259632,34.0,29259632.0,PROBE_BW_CRUISE,24,1778090983181
27,26251296,,,PROBE_BW_CRUISE,23,1778090983272
27,25162440,,,PROBE_BW_CRUISE,23,1778090983363
9,7720032,,,PROBE_BW_UP,9,1778090983454
24,26251296,,,PROBE_BW_DOWN,24,1778090983544
9,8610728,,,PROBE_BW_CRUISE,8,1778090983635
30,17264264,,,PROBE_BW_UP,30,1778090983726
28,29259632,22.0,20347856.0,PROBE_BW_CRUISE,22,1778090983817
27,26251296,22.0,22132008.0,PROBE_BW_CRUISE,22,1778090983908
24,23810520,,,PROBE_BW_CRUISE,21,1778090984000
19,22723040,,,PROBE_BW_DOWN,19,1778090984090
17,18149432,,,PROBE_BW_CRUISE,15,1778090984181
19,17809040,20.0,17088888.0,PROBE_BW_CRUISE,17,1778090984272
19,18306856,16.0,15160432.0,PROBE_BW_CRUISE,16,1778090984363
27,25162440,,,PROBE_BW_REFILL,27,1778090984454
27,25162440,21.0,20066152.0,PROBE_BW_CRUISE,21,1778090984544
24,23810520,19.0,16342496.0,PROBE_BW_CRUISE,19,1778090984635
19,21564448,17.0,17601896.0,PROBE_BW_CRUISE,17,1778090984726
17,18149432,,,PROBE_BW_REFILL,17,1778090984817
19,17809040,,,PROBE_BW_REFILL,19,1778090984908
18,16432952,14.0,14593560.0,PROBE_BW_CRUISE,14,1778090985000
17,18026528,,,PROBE_BW_REFILL,17,1778090985076
28,29680120,24.0,23527424.0,PROBE_BW_CRUISE,24,1778090985153
26,25676832,21.0,19150600.0,PROBE_BW_CRUISE,21,1778090985230
26,25676832,14.0,13403896.0,PROBE_RTT,6,1778090985307
18,16432952,15.0,14081240.0,PROBE_BW_CRUISE,15,1778090985384
17,18026528,13.0,12612632.0,PROBE_BW_CRUISE,13,1778090985461
26,25676832,27.0,25676832.0,PROBE_BW_CRUISE,23,1778090985537
19,18306856,,,PROBE_BW_REFILL,19,1778090985614
17,18026528,,,PROBE_BW_DOWN,17,1778090985691
36,20365808,,,PROBE_BW_UP,36,1778090985768
28,29680120,24.0,21081816.0,PROBE_BW_CRUISE,24,1778090985845
26,25676832,20.0,19063600.0,PROBE_RTT,9,1778090985922
26,25676832,23.0,21876536.0,PROBE_BW_CRUISE,23,1778090986000
22,25602264,18.0,17071624.0,PROBE_BW_CRUISE,18,1778090986111
17,18731488,17.0,18116984.0,PROBE_BW_CRUISE,15,1778090986222
17,17891200,14.0,12818392.0,PROBE_BW_CRUISE,14,1778090986333
26,25676832,,,PROBE_BW_CRUISE,23,1778090986444
26,25676832,,,PROBE_BW_REFILL,26,1778090986555
22,22786560,,,PROBE_BW_REFILL,22,1778090986666
17,16406712,,,PROBE_BW_UP,17,1778090986777
17,14904272,,,PROBE_BW_CRUISE,15,1778090986888
17,14904272,14.0,13989408.0,PROBE_BW_CRUISE,14,1778090987000
17,15313024,,,PROBE_BW_REFILL,17,1778090987076
11,11637016,9.0,8793008.0,PROBE_BW_CRUISE,9,1778090987153
8,7735224,,,PROBE_BW_CRUISE,7,1778090987230
8,7670320,,,PROBE_BW_REFILL,8,1778090987307
11,11637016,12.0,10977624.0,PROBE_BW_CRUISE,10,1778090987384
8,7670320,7.0,6714720.0,PROBE_BW_CRUISE,7,1778090987461
9,10235376,9.0,9086456.0,PROBE_BW_CRUISE,8,1778090987537
8,7766296,,,PROBE_BW_REFILL,8,1778090987614
7,7715888,7.0,7715888.0,PROBE_BW_CRUISE,6,1778090987691
17,14839368,,,PROBE_BW_CRUISE,15,1778090987768
13,14463064,11.0,10541944.0,PROBE_BW_CRUISE,11,1778090987845
17,15313024,,,PROBE_BW_CRUISE,15,1778090987922
5,6741648,,,PROBE_BW_DOWN,5,1778090988000
7,7537752,7.0,7537752.0,PROBE_BW_CRUISE,6,1778090988071
4,5291680,,,PROBE_BW_UP,4,1778090988142
5,4162784,,,PROBE_BW_CRUISE,4,1778090988214
8,6498608,,,PROBE_BW_UP,8,1778090988285
4,5291680,,,PROBE_BW_REFILL,4,1778090988356
8,6498608,,,PROBE_BW_REFILL,8,1778090988428
6,4737240,,,PROBE_BW_UP,6,1778090988499
6,6582840,7.0,5397320.0,PROBE_BW_CRUISE,5,1778090988570
5,5560272,,,PROBE_BW_CRUISE,4,1778090988642
12,5267520,,,PROBE_BW_UP,12,1778090988713
20,11715032,,,PROBE_BW_UP,20,1778090988784
4,5291680,,,PROBE_BW_DOWN,4,1778090988856
8,6498608,,,PROBE_BW_DOWN,8,1778090988927
24,25382000,24.0,21210936.0,PROBE_BW_CRUISE,21,1778090989000
24,22384024,,,PROBE_BW_CRUISE,21,1778090989090
24,22819704,,,PROBE_BW_CRUISE,21,1778090989181
20,22819704,,,PROBE_BW_DOWN,20,1778090989272
18,19586280,19.0,19313552.0,PROBE_BW_CRUISE,16,1778090989363
24,22819704,,,PROBE_BW_DOWN,24,1778090989454
24,25382000,19.0,17215928.0,PROBE_BW_CRUISE,19,1778090989544
24,22384024,20.0,18279928.0,PROBE_BW_CRUISE,20,1778090989635
24,22819704,20.0,19866608.0,PROBE_BW_CRUISE,20,1778090989726
20,20849824,18.0,17195904.0,PROBE_BW_CRUISE,18,1778090989817
18,19586280,16.0,14343616.0,PROBE_BW_CRUISE,16,1778090989908
27,19209288,,,PROBE_BW_UP,27,1778090990000
22,21634880,,,PROBE_BW_REFILL,22,1778090990058
16,16356304,,,PROBE_BW_UP,16,1778090990117
18,19043576,,,PROBE_BW_DOWN,18,1778090990176
16,20058552,21.0,20058552.0,PROBE_BW_CRUISE,14,1778090990235
21,18340688,,,PROBE_BW_UP,21,1778090990293
22,21634880,18.0,16491640.0,PROBE_BW_CRUISE,18,1778090990352
16,15290240,,,PROBE_BW_REFILL,16,1778090990411
18,19043576,16.0,15446968.0,PROBE_BW_CRUISE,16,1778090990470
16,17912608,,,PROBE_BW_DOWN,16,1778090990528
22,21634880,19.0,16611088.0,PROBE_BW_CRUISE,19,1778090990587
16,20194576,20.0,17964392.0,PROBE_BW_CRUISE,14,1778090990646
18,19043576,16.0,15623728.0,PROBE_BW_CRUISE,16,1778090990705
17,16974960,12.0,11310424.0,PROBE_BW_CRUISE,12,1778090990763
22,18340688,,,PROBE_BW_UP,22,1778090990822
22,21634880,,,PROBE_BW_REFILL,20,1778090990881
18,19043576,,,PROBE_BW_REFILL,18,1778090990940
32,20001936,,,PROBE_BW_UP,32,1778090991000
24,25037464,9.0,9843888.0,PROBE_RTT,5,1778090991066
24,25037464,20.0,18540920.0,PROBE_BW_CRUISE,20,1778090991133
53,46378208,52.0,45314896.0,PROBE_BW_CRUISE,46,1778090991199
53,46378208,41.0,39617224.0,PROBE_BW_CRUISE,41,1778090991266
21,16049056,,,PROBE_BW_UP,21,1778090991333
24,25037464,14.0,14000456.0,PROBE_RTT,7,1778090991399
46,43119232,,,PROBE_BW_DOWN,46,1778090991466
16,20058552,14.0,14103336.0,PROBE_BW_CRUISE,14,1778090991532
24,25037464,21.0,19912176.0,PROBE_RTT,9,1778090991599
24,25037464,,,PROBE_BW_CRUISE,21,1778090991666
24,23144912,,,PROBE_BW_REFILL,24,1778090991732
53,46378208,45.0,42483320.0,PROBE_BW_CRUISE,45,1778090991799
22,16049056,,,PROBE_BW_UP,22,1778090991865
69,43119232,,,PROBE_BW_UP,69,1778090991932
55,52387976,,,PROBE_BW_UP,55,1778090992000
55,55162240,43.0,41484920.0,PROBE_BW_CRUISE,43,1778090992066
39,55162240,,,PROBE_BW_DOWN,39,1778090992133
39,49298168,28.0,27503784.0,PROBE_BW_CRUISE,28,1778090992199
39,40755792,33.0,32796168.0,PROBE_BW_CRUISE,33,1778090992266
53,48096760,,,PROBE_BW_REFILL,53,1778090992333
55,55162240,44.0,41362016.0,PROBE_BW_CRUISE,44,1778090992399
55,55162240,37.0,37456080.0,PROBE_BW_CRUISE,37,1778090992466
39,49298168,29.0,27539688.0,PROBE_BW_CRUISE,29,1778090992532
39,40755792,34.0,34174320.0,PROBE_BW_CRUISE,34,1778090992599
53,46378208,41.0,37244800.0,PROBE_BW_CRUISE,41,1778090992666
55,55162240,45.0,44781176.0,PROBE_BW_CRUISE,45,1778090992732
55,55162240,41.0,39103520.0,PROBE_BW_CRUISE,41,1778090992799
39,49298168,33.0,34374560.0,PROBE_BW_CRUISE,33,1778090992865
39,40755792,,,PROBE_BW_CRUISE,34,1778090992932
25,40755792,,,PROBE_BW_CRUISE,22,1778090993000
25,24837232,,,PROBE_BW_CRUISE,22,1778090993076
19,20588136,22.0,19927368.0,PROBE_BW_CRUISE,17,1778090993153
16,17724112,18.0,17644016.0,PROBE_BW_CRUISE,14,1778090993230
16,14885624,14.0,13328640.0,PROBE_BW_CRUISE,14,1778090993307
39,40755792,31.0,27946376.0,PROBE_BW_CRUISE,31,1778090993384
25,34285488,,,PROBE_BW_REFILL,25,1778090993461
25,24837232,,,PROBE_BW_REFILL,25,1778090993537
39,40755792,33.0,29464008.0,PROBE_BW_CRUISE,33,1778090993614
25,34285488,26.0,23936176.0,PROBE_BW_CRUISE,22,1778090993691
25,24837232,20.0,17787632.0,PROBE_BW_CRUISE,20,1778090993768
19,20588136,16.0,16854128.0,PROBE_BW_CRUISE,16,1778090993845
16,17724112,,,PROBE_BW_CRUISE,14,1778090993922
16,14580448,,,PROBE_BW_CRUISE,14,1778090994000
14,14113696,12.0,11581088.0,PROBE_BW_CRUISE,12,1778090994083
15,16880368,19.0,15962056.0,PROBE_BW_CRUISE,13,1778090994166
15,16035240,,,PROBE_BW_REFILL,15,1778090994249
16,14883560,14.0,13744296.0,PROBE_BW_CRUISE,14,1778090994333
14,14113696,14.0,13244400.0,PROBE_BW_CRUISE,12,1778090994416
15,16035240,15.0,15485640.0,PROBE_BW_CRUISE,13,1778090994499
24,24621120,21.0,19587664.0,PROBE_BW_CRUISE,21,1778090994582
16,14883560,,,PROBE_BW_CRUISE,14,1778090994666
16,14580448,13.0,12430352.0,PROBE_BW_CRUISE,13,1778090994749
16,14435448,,,PROBE_BW_UP,16,1778090994832
39,24621120,,,PROBE_BW_UP,39,1778090994915
24,24621120,21.0,19587664.0,PROBE_BW_CRUISE,21,1778090995000
22,22677472,21.0,20121384.0,PROBE_BW_CRUISE,19,1778090995083
21,20821512,18.0,18505016.0,PROBE_BW_CRUISE,18,1778090995166
17,20149696,15.0,13219544.0,PROBE_BW_CRUISE,15,1778090995249
17,14831080,14.0,13966624.0,PROBE_BW_CRUISE,14,1778090995333
21,20821512,21.0,20123456.0,PROBE_BW_CRUISE,18,1778090995416
17,14831080,14.0,11922864.0,PROBE_BW_CRUISE,14,1778090995499
24,24621120,,,PROBE_BW_REFILL,24,1778090995582
22,22677472,,,PROBE_BW_DOWN,22,1778090995666
21,20821512,,,PROBE_BW_REFILL,21,1778090995749
17,16823752,,,PROBE_BW_CRUISE,15,1778090995832
16,16201648,,,PROBE_BW_CRUISE,14,1778090995915
16,16201648,13.0,12185928.0,PROBE_BW_CRUISE,13,1778090996000
15,15533968,15.0,14504496.0,PROBE_BW_CRUISE,13,1778090996099
25,24146768,29.0,24146768.0,PROBE_BW_CRUISE,22,1778090996199
25,24146768,9.0,9377824.0,PROBE_RTT,5,1778090996299
25,24146768,21.0,18250240.0,PROBE_BW_CRUISE,21,1778090996399
25,24146768,14.0,13338304.0,PROBE_RTT,6,1778090996499
25,17264264,,,PROBE_BW_UP,25,1778090996599
25,24146768,21.0,18970392.0,PROBE_RTT,9,1778090996699
25,24146768,,,PROBE_BW_CRUISE,22,1778090996799
21,23488760,24.0,22440640.0,PROBE_BW_CRUISE,18,1778090996899
21,23488760,18.0,17262880.0,PROBE_BW_CRUISE,18,1778090997000
18,16846536,14.0,14378832.0,PROBE_BW_CRUISE,14,1778090997076
18,16469544,16.0,15433856.0,PROBE_BW_CRUISE,16,1778090997153
21,20793896,18.0,15908200.0,PROBE_BW_CRUISE,18,1778090997230
18,20673064,16.0,14514160.0,PROBE_BW_CRUISE,16,1778090997307
21,23488760,18.0,17144816.0,PROBE_BW_CRUISE,18,1778090997384
18,16846536,15.0,14504496.0,PROBE_BW_CRUISE,15,1778090997461
21,20793896,19.0,17258736.0,PROBE_BW_CRUISE,18,1778090997537
18,20673064,18.0,18947608.0,PROBE_BW_CRUISE,16,1778090997614
18,15666536,17.0,15597496.0,PROBE_BW_CRUISE,16,1778090997691
21,20793896,,,PROBE_BW_CRUISE,18,1778090997768
18,20915416,,,PROBE_BW_DOWN,18,1778090997845
