inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
463,482281616,594.0,416559472.0,PROBE_BW_CRUISE,395,1778250931000
463,482281616,229.0,222975832.0,PROBE_BW_CRUISE,229,1778250931124
463,482281616,160.0,158010432.0,PROBE_BW_CRUISE,160,1778250931249
463,482281616,377.0,385560568.0,PROBE_BW_CRUISE,377,1778250931374
463,482281616,206.0,200478568.0,PROBE_BW_CRUISE,206,1778250931499
463,482281616,148.0,151213544.0,PROBE_BW_CRUISE,148,1778250931624
463,482281616,214.0,221614248.0,PROBE_BW_CRUISE,214,1778250931749
463,482281616,229.0,222975832.0,PROBE_BW_CRUISE,224,1778250931874
463,482281616,134.0,127436856.0,PROBE_BW_CRUISE,134,1778250932000
291,427090368,220.0,215467080.0,PROBE_BW_CRUISE,220,1778250932062
291,427090368,162.0,154104496.0,PROBE_BW_CRUISE,162,1778250932124
291,427090368,127.0,125388256.0,PROBE_BW_CRUISE,127,1778250932187
291,427090368,,,PROBE_BW_UP,263,1778250932249
463,482281616,127.0,120887152.0,PROBE_BW_CRUISE,127,1778250932312
291,427090368,203.0,194908624.0,PROBE_BW_CRUISE,203,1778250932374
291,427090368,143.0,140655712.0,PROBE_BW_CRUISE,143,1778250932437
291,427090368,123.0,123412160.0,PROBE_BW_CRUISE,123,1778250932499
208,294526840,198.0,207089032.0,PROBE_BW_CRUISE,178,1778250932561
463,482281616,140.0,130674424.0,PROBE_BW_CRUISE,140,1778250932624
291,427090368,226.0,223283088.0,PROBE_BW_CRUISE,226,1778250932686
291,427090368,127.0,132547640.0,PROBE_BW_CRUISE,127,1778250932749
291,427090368,,,PROBE_BW_REFILL,161,1778250932811
291,427090368,,,PROBE_BW_REFILL,206,1778250932874
291,427090368,,,PROBE_BW_REFILL,188,1778250932936
208,294526840,166.0,163124672.0,PROBE_BW_CRUISE,166,1778250933000
208,294526840,140.0,142831352.0,PROBE_BW_CRUISE,140,1778250933090
208,294526840,132.0,126517160.0,PROBE_BW_CRUISE,132,1778250933181
208,294526840,168.0,160663184.0,PROBE_BW_CRUISE,168,1778250933272
