inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
19,16,19289384,15711416,PROBE_BW_CRUISE,3,16,1778044922000
18,15,17500400,13842344,PROBE_BW_CRUISE,3,15,1778044923111
18,17,17151024,15145240,PROBE_BW_CRUISE,3,16,1778044924333
18,14,17151024,13741536,PROBE_BW_CRUISE,3,14,1778044925570
18,20,17467952,16519256,PROBE_BW_CRUISE,3,16,1778044926111
14,11,15500136,10441824,PROBE_BW_CRUISE,3,11,1778044927076
12,5,12101696,5567864,PROBE_RTT,3,4,1778044928000
11,10,9850104,9850104,PROBE_BW_CRUISE,3,10,1778044929399
13,17,14614968,14614968,PROBE_BW_CRUISE,3,12,1778044930000
16,20,17188312,17188312,PROBE_BW_CRUISE,3,14,1778044931249
16,14,15744560,14375376,PROBE_BW_CRUISE,3,14,1778044932000
9,9,9434448,9434448,PROBE_BW_CRUISE,3,8,1778044933142
18,15,15847440,14397472,PROBE_BW_CRUISE,3,15,1778044934058
17,14,16181624,13486752,PROBE_BW_CRUISE,3,14,1778044935062
11,11,10475656,10421800,PROBE_BW_CRUISE,3,10,1778044936000
18,15,17998224,14105408,PROBE_BW_CRUISE,3,15,1778044937000
14,12,14558352,11019048,PROBE_BW_CRUISE,3,12,1778044938117
17,19,17351952,17050224,PROBE_BW_CRUISE,3,15,1778044939124
17,15,16593136,13869960,PROBE_BW_CRUISE,3,15,1778044940037
18,18,17505928,16978416,PROBE_BW_CRUISE,3,16,1778044941090
17,14,15538800,13351424,PROBE_BW_CRUISE,3,14,1778044942000
16,16,14590800,14590800,PROBE_BW_CRUISE,3,14,1778044943083
11,15,11095688,11095688,PROBE_BW_CRUISE,3,10,1778044944062
17,14,16228576,13227144,PROBE_BW_CRUISE,3,14,1778044945000
16,13,16562752,12255664,PROBE_BW_CRUISE,3,13,1778044946066
16,19,16170576,16170576,PROBE_BW_CRUISE,3,14,1778044947000
16,14,14668824,13662136,PROBE_BW_CRUISE,3,14,1778044948000
14,14,14458232,14458232,PROBE_RTT,3,7,1778044949000
18,15,16646992,14556968,PROBE_BW_CRUISE,3,15,1778044950045
14,12,12978576,12050600,PROBE_BW_CRUISE,3,12,1778044951099
14,18,13115976,12472472,PROBE_BW_CRUISE,3,12,1778044952083
15,15,16068384,16068384,PROBE_BW_CRUISE,3,13,1778044953915
10,9,9235592,7895408,PROBE_BW_CRUISE,3,9,1778044954908
20,19,17646088,17232504,PROBE_BW_CRUISE,3,18,1778044955049
16,14,16655968,12725176,PROBE_BW_CRUISE,3,14,1778044956865
20,17,17814560,15332352,PROBE_BW_CRUISE,3,17,1778044957893
18,15,16345952,14048096,PROBE_BW_CRUISE,3,15,1778044958090
18,17,17749656,14969864,PROBE_BW_CRUISE,3,16,1778044959000
16,17,15188736,14376760,PROBE_BW_CRUISE,3,14,1778044960000
7,12,8630056,8630056,PROBE_BW_DOWN,3,7,1778044961062
10,14,9395088,9395088,PROBE_BW_CRUISE,3,9,1778044962666
18,19,16798896,16798896,PROBE_BW_CRUISE,3,16,1778044963000
16,13,13317592,12596064,PROBE_BW_CRUISE,3,13,1778044964000
12,13,12756936,12442088,PROBE_BW_CRUISE,3,11,1778044965000
20,18,18929656,15578160,PROBE_BW_CRUISE,3,18,1778044966000
20,17,17583256,17206952,PROBE_BW_CRUISE,3,17,1778044967832
16,16,15052032,15052032,PROBE_BW_CRUISE,3,14,1778044968000
16,14,18245408,12645776,PROBE_BW_CRUISE,3,14,1778044969124
12,17,15656872,15448352,PROBE_BW_CRUISE,3,11,1778044970000
11,10,10995576,9241808,PROBE_BW_CRUISE,3,10,1778044971142
16,14,16209240,12457280,PROBE_BW_CRUISE,3,14,1778044972000
18,13,18316528,11235168,PROBE_BW_CRUISE,3,13,1778044973199
17,15,15516712,14088144,PROBE_BW_CRUISE,3,15,1778044974133
18,15,15715560,13809200,PROBE_BW_CRUISE,3,15,1778044975099
18,15,17180024,14969176,PROBE_BW_CRUISE,3,15,1778044976142
18,18,16840320,16372192,PROBE_BW_CRUISE,3,16,1778044977000
18,21,16592448,15854344,PROBE_BW_CRUISE,3,16,1778044978062
14,15,15643064,15643064,PROBE_BW_CRUISE,3,12,1778044979149
18,18,16594520,16594520,PROBE_BW_CRUISE,3,16,1778044980083
18,17,16504064,16264480,PROBE_BW_CRUISE,3,16,1778044981000
18,9,17341592,8572752,PROBE_RTT,3,4,1778044982000
17,15,17144120,14619112,PROBE_BW_CRUISE,3,15,1778044983000
13,11,12553256,10093832,PROBE_BW_CRUISE,3,11,1778044984000
18,20,17174504,17050224,PROBE_BW_CRUISE,3,16,1778044985000
18,14,17680608,13433592,PROBE_BW_CRUISE,3,14,1778044986047
16,15,17185552,13653160,PROBE_BW_CRUISE,3,14,1778044987142
18,15,16917648,14584584,PROBE_BW_CRUISE,3,15,1778044988299
18,14,17199360,13205736,PROBE_BW_CRUISE,3,14,1778044989000
18,7,17611568,7562608,PROBE_RTT,3,4,1778044990000
18,18,17980960,17980960,PROBE_BW_CRUISE,3,16,1778044991038
17,17,15826728,15338568,PROBE_BW_CRUISE,3,15,1778044992000
12,11,12377184,9306016,PROBE_BW_CRUISE,3,11,1778044993000
20,18,17436184,17017768,PROBE_BW_CRUISE,3,18,1778044994055
18,15,17989248,13584112,PROBE_BW_CRUISE,3,15,1778044995062
18,14,17648160,12406184,PROBE_BW_CRUISE,3,14,1778044996000
14,18,17539760,16305216,PROBE_BW_CRUISE,3,12,1778044997000
16,15,15725920,13213336,PROBE_BW_CRUISE,3,14,1778044998000
18,16,16680136,15148000,PROBE_BW_CRUISE,3,16,1778044999111
16,16,16602112,14878032,PROBE_BW_CRUISE,3,14,1778045000000
20,16,18083152,16098768,PROBE_BW_CRUISE,3,16,1778045001111
20,18,18866824,16675304,PROBE_BW_CRUISE,3,18,1778045002083
16,13,18866824,13265120,PROBE_BW_CRUISE,3,13,1778045003000
16,13,17243552,12472472,PROBE_BW_CRUISE,3,13,1778045004083
14,13,13154640,12143808,PROBE_BW_CRUISE,3,12,1778045005000
14,14,13767776,13180192,PROBE_BW_CRUISE,3,12,1778045006000
17,17,15429016,14806224,PROBE_BW_CRUISE,3,15,1778045007000
14,11,13744984,10385208,PROBE_BW_CRUISE,3,11,1778045008000
16,19,16098768,16098768,PROBE_BW_CRUISE,3,14,1778045009041
13,12,13131168,11215832,PROBE_BW_CRUISE,3,12,1778045010099
16,19,16741584,15075504,PROBE_BW_CRUISE,3,14,1778045011099
16,18,16539280,16539280,PROBE_BW_CRUISE,3,14,1778045012190
17,14,19207912,13270640,PROBE_BW_CRUISE,3,14,1778045013000
18,15,17434120,14360880,PROBE_BW_CRUISE,3,15,1778045014000
18,21,17432048,17432048,PROBE_BW_CRUISE,3,16,1778045015049
16,15,15290240,13621392,PROBE_BW_CRUISE,3,14,1778045016136
14,13,11967056,11400872,PROBE_BW_CRUISE,3,12,1778045017038
14,17,14290448,14290448,PROBE_BW_CRUISE,3,12,1778045018000
16,16,14840056,13520584,PROBE_BW_CRUISE,3,14,1778045019071
16,13,15609920,12754864,PROBE_BW_CRUISE,3,13,1778045020124
16,19,16008312,16008312,PROBE_BW_CRUISE,3,14,1778045021071
14,16,13712536,13712536,PROBE_BW_CRUISE,3,12,1778045022249
18,20,17095104,16789920,PROBE_BW_CRUISE,3,16,1778045023272
18,15,17328472,14038432,PROBE_BW_CRUISE,3,15,1778045024000
16,14,15626488,13408040,PROBE_BW_CRUISE,3,14,1778045025000
18,20,17779344,17525256,PROBE_BW_CRUISE,3,16,1778045026124
18,17,16497160,16165744,PROBE_BW_CRUISE,3,16,1778045027000
16,13,16090480,11313184,PROBE_BW_CRUISE,3,13,1778045028071
16,13,16437088,11556920,PROBE_BW_CRUISE,3,13,1778045029000
16,13,16204408,12361992,PROBE_BW_CRUISE,3,13,1778045030038
18,18,18433904,18433904,PROBE_BW_CRUISE,3,16,1778045031000
18,15,17497640,13078000,PROBE_BW_CRUISE,3,15,1778045032000
13,15,13298952,13298952,PROBE_BW_CRUISE,3,12,1778045033000
14,17,16059408,15121072,PROBE_BW_CRUISE,3,12,1778045034000
16,16,16005552,16005552,PROBE_BW_CRUISE,3,14,1778045035153
16,19,16048360,16048360,PROBE_BW_CRUISE,3,14,1778045036083
16,17,15832248,14661224,PROBE_BW_CRUISE,3,14,1778045037000
12,12,12796296,12796296,PROBE_BW_CRUISE,3,11,1778045038000
16,13,14729584,13376976,PROBE_BW_CRUISE,3,13,1778045039000
17,17,15719704,15719704,PROBE_BW_CRUISE,3,15,1778045040000
18,20,16183000,15991056,PROBE_BW_CRUISE,3,16,1778045041000
18,15,16301760,14481712,PROBE_RTT,3,7,1778045042000
14,14,14276640,14043960,PROBE_BW_CRUISE,3,12,1778045043000
16,16,14895296,13318976,PROBE_BW_CRUISE,3,14,1778045044035
17,15,16357000,13443256,PROBE_BW_CRUISE,3,15,1778045045071
14,13,13408040,12333000,PROBE_BW_CRUISE,3,12,1778045046000
18,17,19401240,15342024,PROBE_BW_CRUISE,3,16,1778045047045
13,12,12212168,11521704,PROBE_BW_CRUISE,3,12,1778045048000
9,9,9821104,8768152,PROBE_BW_CRUISE,3,8,1778045049142
17,15,12382016,12205952,PROBE_BW_CRUISE,3,15,1778045050166
14,13,12273616,12254280,PROBE_BW_CRUISE,3,12,1778045051071
20,17,16843080,15782536,PROBE_BW_CRUISE,3,17,1778045052214
16,12,14507256,10675888,PROBE_BW_CRUISE,3,12,1778045053149
20,18,17778656,16963912,PROBE_BW_CRUISE,3,18,1778045054166
18,17,16892104,16397048,PROBE_BW_CRUISE,3,16,1778045055071
18,16,16892104,15226024,PROBE_BW_CRUISE,3,16,1778045056187
17,14,15544328,12419304,PROBE_BW_CRUISE,3,14,1778045057049
16,13,14427160,12359232,PROBE_BW_CRUISE,3,13,1778045058199
20,17,17625376,15910960,PROBE_BW_CRUISE,3,17,1778045059000
18,18,16212000,16095312,PROBE_BW_CRUISE,3,16,1778045060000
14,14,13363856,13317592,PROBE_BW_CRUISE,3,12,1778045061000
14,12,13217472,11807552,PROBE_BW_CRUISE,3,12,1778045062166
18,21,17704088,17704088,PROBE_BW_CRUISE,3,16,1778045063166
16,14,17421688,15059624,PROBE_BW_CRUISE,3,14,1778045064210
17,17,16452280,16452280,PROBE_BW_CRUISE,3,15,1778045065249
17,16,15156288,15156288,PROBE_BW_CRUISE,3,15,1778045066000
18,21,16813392,16813392,PROBE_BW_CRUISE,3,16,1778045067062
16,13,14602536,12600896,PROBE_BW_CRUISE,3,13,1778045068000
16,13,14824176,12243928,PROBE_BW_CRUISE,3,13,1778045069000
16,13,15355144,12394448,PROBE_BW_CRUISE,3,13,1778045070000
18,19,17380952,17380952,PROBE_BW_CRUISE,3,16,1778045071099
18,16,16773344,14985056,PROBE_BW_CRUISE,3,16,1778045072000
10,10,11185448,9107856,PROBE_BW_CRUISE,3,9,1778045073000
16,15,16196808,14273192,PROBE_BW_CRUISE,3,14,1778045074041
18,15,17421688,13288592,PROBE_BW_CRUISE,3,15,1778045075000
14,11,14263520,10450800,PROBE_BW_CRUISE,3,11,1778045076055
18,18,16231336,16231336,PROBE_BW_CRUISE,3,16,1778045077000
16,15,16029032,15484256,PROBE_BW_CRUISE,3,14,1778045078000
18,16,16874152,15028552,PROBE_BW_CRUISE,3,16,1778045079111
18,15,16987392,14744776,PROBE_BW_CRUISE,3,15,1778045080049
18,15,17162072,13624160,PROBE_BW_CRUISE,3,15,1778045081000
17,13,16331448,11837936,PROBE_BW_CRUISE,3,13,1778045082000
16,14,15256408,13729800,PROBE_BW_CRUISE,3,14,1778045083000
18,20,16485424,16095312,PROBE_BW_CRUISE,3,16,1778045084111
17,14,16858960,13909320,PROBE_BW_CRUISE,3,14,1778045085083
11,16,12377880,12377880,PROBE_BW_CRUISE,3,10,1778045086000
18,15,18372448,14382976,PROBE_BW_CRUISE,3,15,1778045087000
18,20,17799368,17432736,PROBE_BW_CRUISE,3,16,1778045088041
18,14,16834800,14115072,PROBE_BW_CRUISE,3,14,1778045089099
18,15,16555160,14456848,PROBE_BW_CRUISE,3,15,1778045090000
16,15,17303616,13843720,PROBE_BW_CRUISE,3,14,1778045091099
16,18,16206480,16206480,PROBE_BW_CRUISE,3,14,1778045092083
18,16,16801656,15207384,PROBE_BW_CRUISE,3,16,1778045093055
15,12,13904480,11206168,PROBE_BW_CRUISE,3,12,1778045094000
16,19,15588520,15519472,PROBE_BW_CRUISE,3,14,1778045095049
11,9,13323808,8429136,PROBE_BW_CRUISE,3,9,1778045096142
20,16,18085224,13941080,PROBE_BW_CRUISE,3,16,1778045097000
17,15,16973576,14342928,PROBE_BW_CRUISE,3,15,1778045098000
20,20,17273928,16742968,PROBE_BW_CRUISE,3,18,1778045099062
16,15,16331448,13965936,PROBE_BW_CRUISE,3,14,1778045100062
18,15,17173120,14306328,PROBE_BW_CRUISE,3,15,1778045101111
18,15,18001672,14067432,PROBE_BW_CRUISE,3,15,1778045102000
14,15,13508848,13508848,PROBE_BW_CRUISE,3,12,1778045103000
15,15,15700368,14245568,PROBE_BW_CRUISE,3,13,1778045104000
18,15,18708016,14003912,PROBE_BW_CRUISE,3,15,1778045105083
17,17,16035240,15174928,PROBE_BW_CRUISE,3,15,1778045106000
16,18,15861248,15861248,PROBE_BW_CRUISE,3,14,1778045107055
12,10,10750464,10266448,PROBE_BW_CRUISE,3,10,1778045108000
16,13,14678488,12045768,PROBE_BW_CRUISE,3,13,1778045109071
16,15,15534664,14436832,PROBE_BW_CRUISE,3,14,1778045110000
19,15,17356784,14786888,PROBE_BW_CRUISE,3,15,1778045111055
20,20,18141840,18141840,PROBE_BW_CRUISE,3,18,1778045112437
15,17,18210880,16430184,PROBE_BW_CRUISE,3,13,1778045113000
18,17,16768512,16768512,PROBE_BW_CRUISE,3,16,1778045114000
14,12,14336024,11209616,PROBE_BW_CRUISE,3,12,1778045115000
18,20,17167600,16954936,PROBE_BW_CRUISE,3,16,1778045116090
18,15,17167600,13310688,PROBE_BW_CRUISE,3,15,1778045117000
13,13,13402520,12733464,PROBE_BW_CRUISE,3,12,1778045118000
12,11,11396736,10195328,PROBE_BW_CRUISE,3,11,1778045119000
14,13,15509800,10989360,PROBE_BW_CRUISE,3,12,1778045120083
16,14,16421904,13589632,PROBE_BW_CRUISE,3,14,1778045121055
20,14,18795016,13214712,PROBE_RTT,3,6,1778045122142
20,16,18795016,14425088,PROBE_BW_CRUISE,3,16,1778045123000
18,18,16977720,16109120,PROBE_BW_CRUISE,3,16,1778045124000
15,17,14177904,14177904,PROBE_BW_CRUISE,3,13,1778045125047
15,12,15682416,12246688,PROBE_BW_CRUISE,3,12,1778045126055
20,17,18973152,16241688,PROBE_BW_CRUISE,3,17,1778045127047
18,15,17619160,13352808,PROBE_BW_CRUISE,3,15,1778045128000
18,16,15271592,14426472,PROBE_BW_CRUISE,3,16,1778045129000
13,12,13717368,11476136,PROBE_BW_CRUISE,3,12,1778045130000
15,17,14603920,14165480,PROBE_BW_CRUISE,3,13,1778045131066
15,13,14563184,11643224,PROBE_BW_CRUISE,3,13,1778045132000
20,20,17427904,17427904,PROBE_BW_CRUISE,3,18,1778045133000
14,11,12966152,11336664,PROBE_RTT,3,5,1778045134000
18,18,16365280,16365280,PROBE_BW_CRUISE,3,16,1778045135055
15,12,15867464,10575776,PROBE_BW_CRUISE,3,12,1778045136066
19,17,17144120,15784608,PROBE_BW_CRUISE,3,17,1778045137190
18,18,16788536,16788536,PROBE_BW_CRUISE,3,16,1778045138000
18,17,16819608,16490256,PROBE_BW_CRUISE,3,16,1778045139055
11,7,12801128,7110352,PROBE_RTT,3,4,1778045140083
25,15,14414040,12854984,PROBE_BW_CRUISE,3,15,1778045141166
18,17,16809944,15420040,PROBE_BW_CRUISE,3,16,1778045142095
18,16,16809944,14083312,PROBE_BW_CRUISE,3,16,1778045143190
13,16,13914840,13914840,PROBE_BW_CRUISE,3,12,1778045144083
13,16,14102648,14102648,PROBE_BW_CRUISE,3,12,1778045145090
12,12,11959456,11959456,PROBE_BW_CRUISE,3,11,1778045146117
22,17,17997528,16686344,PROBE_BW_CRUISE,3,17,1778045147153
16,15,14647416,14647416,PROBE_BW_CRUISE,3,14,1778045148000
