inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
109,112,97747760,97747760,PROBE_BW_CRUISE,2,93,1778034560000
109,82,97747760,75354064,PROBE_BW_CRUISE,2,82,1778034561000
104,63,97217480,64803136,PROBE_BW_CRUISE,2,63,1778034562138
82,55,88245640,56789656,PROBE_BW_CRUISE,2,55,1778034563111
59,51,58247216,51211432,PROBE_BW_CRUISE,2,51,1778034564000
55,41,56058464,41136928,PROBE_BW_CRUISE,2,41,1778034565000
34,29,33251872,28449024,PROBE_BW_CRUISE,2,29,1778034566000
26,22,25533216,21260648,PROBE_BW_CRUISE,2,22,1778034567000
13,14,14331192,12335064,PROBE_BW_CRUISE,2,12,1778034568000
14,10,10998336,9369544,PROBE_BW_CRUISE,2,10,1778034569111
9,10,8707392,8440184,PROBE_BW_CRUISE,2,8,1778034570000
13,11,12072000,10354824,PROBE_BW_CRUISE,2,11,1778034571058
13,11,11275904,10142856,PROBE_BW_CRUISE,2,11,1778034572166
12,11,10810528,10667608,PROBE_BW_CRUISE,2,11,1778034573049
9,10,8762624,8762624,PROBE_BW_CRUISE,2,8,1778034574000
14,10,11932528,9395088,PROBE_BW_CRUISE,2,10,1778034575039
15,16,13307928,12910224,PROBE_BW_CRUISE,2,13,1778034576208
15,14,12679608,12679608,PROBE_BW_CRUISE,2,13,1778034577130
15,14,14319448,13513680,PROBE_BW_CRUISE,2,13,1778034578000
9,8,7804264,7031640,PROBE_BW_CRUISE,2,8,1778034579153
9,7,7656512,6138880,PROBE_BW_CRUISE,2,7,1778034580062
11,9,9894984,8580344,PROBE_BW_CRUISE,2,9,1778034581000
15,12,13439112,10742864,PROBE_BW_CRUISE,2,12,1778034582000
11,10,11052880,9690608,PROBE_BW_CRUISE,2,10,1778034583000
15,13,12448304,10840224,PROBE_BW_CRUISE,2,13,1778034584249
18,15,14929128,14409208,PROBE_BW_CRUISE,2,15,1778034585199
18,17,16987392,15338568,PROBE_BW_CRUISE,2,16,1778034586000
11,13,12453136,12453136,PROBE_BW_CRUISE,2,10,1778034587000
16,14,12828744,12828744,PROBE_BW_CRUISE,2,14,1778034588166
13,11,13693200,9497968,PROBE_BW_CRUISE,2,11,1778034589000
21,18,16615920,16109120,PROBE_BW_CRUISE,2,18,1778034590000
17,14,16774728,13444640,PROBE_BW_CRUISE,2,14,1778034591000
16,13,12417920,11285568,PROBE_BW_CRUISE,2,13,1778034592133
18,17,18022392,18022392,PROBE_BW_CRUISE,2,16,1778034593000
21,16,19317000,16538592,PROBE_BW_CRUISE,2,16,1778034594090
15,14,14728200,13117360,PROBE_BW_CRUISE,2,13,1778034595068
14,11,13432208,10399016,PROBE_BW_CRUISE,2,11,1778034596199
13,13,12357856,12357856,PROBE_BW_CRUISE,2,12,1778034597043
18,16,15768728,15322000,PROBE_BW_CRUISE,2,16,1778034598000
13,12,11677752,10512944,PROBE_BW_CRUISE,2,12,1778034599000
14,11,11238616,9845272,PROBE_BW_CRUISE,2,11,1778034600000
13,12,14208288,10635152,PROBE_BW_CRUISE,2,12,1778034601071
11,9,10232616,8538224,PROBE_BW_CRUISE,2,9,1778034602000
17,16,15582992,14699200,PROBE_BW_CRUISE,2,15,1778034603055
13,15,14365712,13472944,PROBE_BW_CRUISE,2,12,1778034604000
12,11,11251736,11251736,PROBE_BW_CRUISE,2,11,1778034605058
12,11,10326520,9060904,PROBE_BW_CRUISE,2,11,1778034606000
11,11,10784984,9751368,PROBE_BW_CRUISE,2,10,1778034607000
16,13,13388016,10508800,PROBE_BW_CRUISE,2,13,1778034608185
18,15,15825344,14008744,PROBE_BW_CRUISE,2,15,1778034609142
18,15,15675512,14189640,PROBE_BW_CRUISE,2,15,1778034610000
17,18,15913720,15913720,PROBE_BW_CRUISE,2,15,1778034611086
15,11,13494352,10127664,PROBE_BW_CRUISE,2,11,1778034612000
15,13,11834480,11682584,PROBE_BW_CRUISE,2,13,1778034613043
14,10,12355784,9221784,PROBE_BW_CRUISE,2,10,1778034614111
9,8,8447088,8251688,PROBE_BW_CRUISE,2,8,1778034615000
12,10,10021336,8979432,PROBE_BW_CRUISE,2,10,1778034616045
13,13,11594896,11594896,PROBE_BW_CRUISE,2,12,1778034617000
15,12,13468112,10279568,PROBE_BW_CRUISE,2,12,1778034618000
13,12,11400872,11013528,PROBE_BW_CRUISE,2,12,1778034619000
11,11,10557136,10557136,PROBE_BW_CRUISE,2,10,1778034620000
11,11,10482560,9788648,PROBE_BW_CRUISE,2,10,1778034621000
11,9,11003168,8344896,PROBE_BW_CRUISE,2,9,1778034622000
11,12,10759440,9846648,PROBE_BW_CRUISE,2,10,1778034623142
14,14,12766608,12766608,PROBE_BW_CRUISE,2,12,1778034624000
15,13,13718752,12728632,PROBE_BW_CRUISE,2,13,1778034625153
14,11,12723800,10318232,PROBE_BW_CRUISE,2,11,1778034626499
17,17,16885200,16885200,PROBE_BW_CRUISE,2,15,1778034627107
18,14,16126384,12311592,PROBE_BW_CRUISE,2,14,1778034628149
22,18,22655376,15478040,PROBE_BW_CRUISE,2,18,1778034629099
22,17,20012296,17364376,PROBE_BW_CRUISE,2,17,1778034630000
17,14,15368952,13700800,PROBE_BW_CRUISE,2,14,1778034631090
13,11,11591440,11222048,PROBE_BW_CRUISE,2,11,1778034632000
8,8,8462280,7693792,PROBE_BW_CRUISE,2,7,1778034633000
13,12,10923080,10372088,PROBE_BW_CRUISE,2,12,1778034634038
13,14,12542208,12542208,PROBE_BW_CRUISE,2,12,1778034635058
14,13,12304000,11670152,PROBE_BW_CRUISE,2,12,1778034636000
12,10,9848032,9639512,PROBE_BW_CRUISE,2,10,1778034637045
15,12,14516920,11789608,PROBE_BW_CRUISE,2,12,1778034638066
15,13,13000672,12446920,PROBE_BW_CRUISE,2,13,1778034639095
13,13,12435872,11978792,PROBE_BW_CRUISE,2,12,1778034640066
11,12,11022504,10477040,PROBE_BW_CRUISE,2,10,1778034641000
11,11,9577368,9577368,PROBE_BW_CRUISE,2,10,1778034642000
11,11,10549536,9179664,PROBE_BW_CRUISE,2,10,1778034643000
15,12,13813344,12456592,PROBE_BW_CRUISE,2,12,1778034644000
16,14,14101264,11775792,PROBE_BW_CRUISE,2,14,1778034645000
18,16,17925720,15620280,PROBE_BW_CRUISE,2,16,1778034646000
14,14,13493656,13493656,PROBE_BW_CRUISE,2,12,1778034647115
12,13,13070408,11267616,PROBE_BW_CRUISE,2,11,1778034648000
19,17,16319712,15890936,PROBE_BW_CRUISE,2,17,1778034649058
16,13,16319712,12361992,PROBE_BW_CRUISE,2,13,1778034650000
11,10,11452656,9430992,PROBE_BW_CRUISE,2,10,1778034651055
13,11,10647584,9471040,PROBE_BW_CRUISE,2,11,1778034652000
15,14,13343136,13000672,PROBE_BW_CRUISE,2,13,1778034653157
18,16,16207168,14576304,PROBE_BW_CRUISE,2,16,1778034654108
19,17,18371072,15371712,PROBE_BW_CRUISE,2,17,1778034655099
20,16,17777272,14456160,PROBE_BW_CRUISE,2,16,1778034656083
