inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
88,89,19584208,19584208,PROBE_BW_CRUISE,3,75,1778092250000
88,71,19584208,15599560,PROBE_BW_CRUISE,3,71,1778092251000
88,65,19584208,14101264,PROBE_BW_CRUISE,3,65,1778092252000
76,85,18712848,18712848,PROBE_BW_CRUISE,3,65,1778092253000
76,61,18712848,12954408,PROBE_BW_CRUISE,3,61,1778092254000
76,76,16945272,16945272,PROBE_BW_CRUISE,3,65,1778092255000
76,63,16945272,13976984,PROBE_BW_CRUISE,3,63,1778092256000
76,58,16945272,12908152,PROBE_BW_CRUISE,3,58,1778092257000
76,65,16562064,14519680,PROBE_BW_CRUISE,3,65,1778092258000
76,63,16562064,13935552,PROBE_BW_CRUISE,3,63,1778092259000
76,58,16562064,12986864,PROBE_BW_CRUISE,3,58,1778092260000
63,54,16367352,11661872,PROBE_BW_CRUISE,3,54,1778092261000
63,37,16367352,11507896,PROBE_BW_CRUISE,3,37,1778092262000
63,33,16367352,6988832,PROBE_BW_CRUISE,3,33,1778092263000
63,54,13959032,11822744,PROBE_BW_CRUISE,3,54,1778092264000
63,48,13959032,10283016,PROBE_BW_CRUISE,3,48,1778092265000
63,53,13465352,11852432,PROBE_BW_CRUISE,3,53,1778092266000
63,52,13465352,11398800,PROBE_BW_CRUISE,3,52,1778092267000
63,52,13465352,11333208,PROBE_BW_CRUISE,3,52,1778092268000
63,47,13465352,10320304,PROBE_BW_CRUISE,3,47,1778092269000
63,54,13269264,11761296,PROBE_BW_CRUISE,3,54,1778092270000
63,53,13269264,11351856,PROBE_BW_CRUISE,3,53,1778092271000
63,45,13269264,9833528,PROBE_BW_CRUISE,3,45,1778092272075
47,39,12843936,8384944,PROBE_BW_CRUISE,3,39,1778092273000
47,34,12843936,6649816,PROBE_BW_CRUISE,3,34,1778092274000
47,30,12843936,6267304,PROBE_BW_CRUISE,3,30,1778092275000
43,34,9945384,7067544,PROBE_BW_CRUISE,3,34,1778092276000
43,36,9598776,7818080,PROBE_BW_CRUISE,3,36,1778092277000
43,34,9598776,7557080,PROBE_BW_CRUISE,3,34,1778092278000
40,34,9180352,7440392,PROBE_BW_CRUISE,3,34,1778092279000
40,30,9180352,6468920,PROBE_BW_CRUISE,3,30,1778092280000
32,26,8984952,6317016,PROBE_BW_CRUISE,3,26,1778092281000
32,25,8984952,5232304,PROBE_BW_CRUISE,3,25,1778092282083
30,24,6856264,5319992,PROBE_BW_CRUISE,3,24,1778092283000
25,21,6640152,4677176,PROBE_BW_CRUISE,3,21,1778092284000
23,23,5319304,4798000,PROBE_BW_CRUISE,3,20,1778092285000
23,19,5319304,4235280,PROBE_BW_CRUISE,3,19,1778092286000
22,22,4992712,4657152,PROBE_BW_CRUISE,3,19,1778092287000
21,21,4581200,4581200,PROBE_BW_CRUISE,3,18,1778092288000
16,19,4523888,4073024,PROBE_BW_CRUISE,3,14,1778092289000
15,13,3535840,2715576,PROBE_BW_CRUISE,3,13,1778092290000
14,12,3891432,2636864,PROBE_BW_CRUISE,3,12,1778092291000
25,29,6143024,6143024,PROBE_BW_CRUISE,3,22,1778092292000
25,20,6143024,4442416,PROBE_BW_CRUISE,3,20,1778092293000
26,28,6082952,6082952,PROBE_BW_CRUISE,3,23,1778092294044
26,22,6082952,4806288,PROBE_BW_CRUISE,3,22,1778092295000
