inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
356,283,78683464,63741208,PROBE_BW_CRUISE,3,283,1778094810000
356,261,78683464,58460568,PROBE_BW_CRUISE,3,261,1778094811000
356,299,79263448,66310416,PROBE_BW_CRUISE,3,299,1778094812000
356,275,79263448,61259008,PROBE_BW_CRUISE,3,275,1778094813000
356,230,79263448,51141000,PROBE_BW_CRUISE,3,230,1778094814000
356,203,79263448,44745272,PROBE_BW_CRUISE,3,203,1778094815000
356,264,79263448,58916272,PROBE_BW_CRUISE,3,264,1778094816000
356,227,79263448,50489208,PROBE_BW_CRUISE,3,227,1778094817000
242,202,75202848,45332848,PROBE_BW_CRUISE,3,202,1778094818000
242,172,75202848,37976688,PROBE_BW_CRUISE,3,172,1778094819000
242,155,75202848,33295368,PROBE_BW_CRUISE,3,155,1778094820000
242,143,75202848,31270936,PROBE_BW_CRUISE,3,143,1778094821000
242,123,75202848,26756712,PROBE_BW_CRUISE,3,123,1778094822000
170,142,53368424,29837544,PROBE_BW_CRUISE,3,142,1778094823000
170,127,53368424,27982280,PROBE_BW_CRUISE,3,127,1778094824000
170,113,53368424,24727448,PROBE_BW_CRUISE,3,113,1778094825000
170,113,52357592,24679112,PROBE_BW_CRUISE,3,113,1778094826000
170,119,52357592,26113888,PROBE_BW_CRUISE,3,119,1778094827000
170,102,52357592,22526264,PROBE_BW_CRUISE,3,102,1778094828000
119,101,37025928,22335000,PROBE_BW_CRUISE,3,101,1778094829000
119,92,37025928,19821040,PROBE_BW_CRUISE,3,92,1778094830000
119,84,37025928,18491904,PROBE_BW_CRUISE,3,84,1778094831000
119,100,26347960,21523712,PROBE_BW_CRUISE,3,97,1778094832000
119,86,26347960,18587872,PROBE_BW_CRUISE,3,86,1778094833000
119,79,26347960,16926624,PROBE_BW_CRUISE,3,79,1778094834000
112,91,25656120,19825872,PROBE_BW_CRUISE,3,91,1778094835000
112,81,25656120,17620544,PROBE_BW_CRUISE,3,81,1778094836000
112,111,24601096,24365648,PROBE_BW_CRUISE,3,96,1778094837000
112,92,24601096,19863152,PROBE_BW_CRUISE,3,92,1778094838000
112,78,24601096,17168976,PROBE_BW_CRUISE,3,78,1778094839000
112,75,24601096,16125696,PROBE_BW_CRUISE,3,75,1778094840000
76,61,23625472,13437040,PROBE_BW_CRUISE,3,61,1778094841000
76,57,23625472,12254280,PROBE_BW_CRUISE,3,57,1778094842000
73,62,16446064,13819560,PROBE_BW_CRUISE,3,62,1778094843000
73,61,16446064,13304472,PROBE_BW_CRUISE,3,61,1778094844000
73,57,16446064,12308136,PROBE_BW_CRUISE,3,57,1778094845000
73,53,16446064,11339424,PROBE_BW_CRUISE,3,53,1778094846000
62,51,15593352,11007312,PROBE_BW_CRUISE,3,51,1778094847000
62,48,15593352,10663464,PROBE_BW_CRUISE,3,48,1778094848000
62,53,15593352,11674984,PROBE_BW_CRUISE,3,53,1778094849000
62,49,15593352,10332040,PROBE_BW_CRUISE,3,49,1778094850000
62,45,15593352,9698200,PROBE_BW_CRUISE,3,45,1778094851000
62,52,13588944,11485800,PROBE_BW_CRUISE,3,52,1778094852000
62,48,13588944,10227096,PROBE_BW_CRUISE,3,48,1778094853000
62,47,13588944,10157360,PROBE_BW_CRUISE,3,47,1778094854000
58,47,12838416,10343784,PROBE_BW_CRUISE,3,47,1778094855000
58,44,12838416,9384728,PROBE_RTT,3,21,1778094856000
58,45,12838416,9797624,PROBE_BW_CRUISE,3,45,1778094857000
58,42,12838416,9304640,PROBE_BW_CRUISE,3,42,1778094858000
46,36,12722416,7704840,PROBE_BW_CRUISE,3,36,1778094859000
46,34,12722416,7287800,PROBE_BW_CRUISE,3,34,1778094860000
39,33,9850792,7130376,PROBE_BW_CRUISE,3,33,1778094861000
39,34,9662984,7608176,PROBE_BW_CRUISE,3,34,1778094862000
39,31,9662984,6840384,PROBE_BW_CRUISE,3,31,1778094863000
32,27,8422920,5888240,PROBE_BW_CRUISE,3,27,1778094864000
27,22,7043384,4918144,PROBE_BW_CRUISE,3,22,1778094865000
27,22,7043384,4478320,PROBE_BW_CRUISE,3,22,1778094866000
25,22,5972480,4588792,PROBE_BW_CRUISE,3,22,1778094867000
25,22,5674888,4781432,PROBE_BW_CRUISE,3,22,1778094868000
23,19,5302040,4148280,PROBE_BW_CRUISE,3,19,1778094869000
22,19,4879480,4167616,PROBE_BW_CRUISE,3,19,1778094870000
22,24,5071424,5071424,PROBE_BW_CRUISE,3,19,1778094871000
20,20,4830456,4272560,PROBE_BW_CRUISE,3,18,1778094872000
20,18,4142064,3728480,PROBE_BW_CRUISE,3,18,1778094873000
19,19,4123424,4009496,PROBE_BW_CRUISE,3,17,1778094874000
19,20,4394088,4394088,PROBE_BW_CRUISE,3,17,1778094875000
18,19,4213872,3998448,PROBE_BW_CRUISE,3,16,1778094876000
18,20,4137928,4137928,PROBE_BW_CRUISE,3,16,1778094877000
22,18,5372464,4052304,PROBE_BW_CRUISE,3,18,1778094878014
26,32,6391584,6391584,PROBE_BW_CRUISE,3,23,1778094879030
26,22,6391584,4664056,PROBE_BW_CRUISE,3,22,1778094880000
26,21,6391584,4334704,PROBE_BW_CRUISE,3,21,1778094881000
23,19,5550608,4215256,PROBE_BW_CRUISE,3,19,1778094882000
20,20,5250944,4762104,PROBE_BW_CRUISE,3,18,1778094883000
20,18,4433440,3983264,PROBE_BW_CRUISE,3,18,1778094884000
27,31,6654648,6654648,PROBE_BW_CRUISE,3,23,1778094885000
27,22,6654648,4661296,PROBE_BW_CRUISE,3,22,1778094886000
27,22,5857864,4593624,PROBE_BW_CRUISE,3,22,1778094887000
20,18,5790192,3813408,PROBE_BW_CRUISE,3,18,1778094888000
20,18,4454152,3984640,PROBE_BW_CRUISE,3,18,1778094889000
19,17,4148280,3767840,PROBE_BW_CRUISE,3,17,1778094890000
17,14,3977736,3075304,PROBE_BW_CRUISE,3,14,1778094891000
35,29,6569032,6270064,PROBE_BW_CRUISE,3,29,1778094892000
35,29,6569032,6427488,PROBE_BW_CRUISE,3,29,1778094893000
32,28,6569032,6192040,PROBE_BW_CRUISE,3,28,1778094894000
30,26,6243824,5638984,PROBE_BW_CRUISE,3,26,1778094895000
30,26,6243824,5534728,PROBE_BW_CRUISE,3,26,1778094896000
35,35,8829600,7722792,PROBE_BW_CRUISE,3,30,1778094897030
35,29,8829600,6323920,PROBE_BW_CRUISE,3,29,1778094898000
35,27,8829600,5777080,PROBE_BW_CRUISE,3,27,1778094899000
28,22,8829600,4572912,PROBE_BW_CRUISE,3,22,1778094900000
27,28,6256944,6000096,PROBE_BW_CRUISE,3,23,1778094901000
22,25,5812984,5370392,PROBE_BW_CRUISE,3,19,1778094902000
